timestamp,token_address,token_symbol,profit_percent,buy_pool,sell_pool,buy_price,sell_price,liquidity_usd,volume_24h
2025-06-25 04:08:05,69G8CpUVZAxbPMiEBrfCCCH445NwFxH6PzVL693Xpump,xavier,2.65,raydium,meteora,0.000056,0.000058,34009,666159
2025-06-25 04:08:23,4z7secBe41i5Svtotp4k2FsjMVV6xykEVnrD4kdFpump,Trenches,2.40,meteora,pumpswap,0.000009,0.000009,22703,98165
2025-06-25 04:09:00,C29ebrgYjYoJPMGPnPSGY1q3mMGk4iDSqnQeQQA7moon,NOBODY,2.63,meteora,meteora,0.000126,0.000130,15025,847090
2025-06-25 04:09:22,PAWSEvC8zsXJVgBcVB3QRKfwd4P9FS6vbB963HsUEP6,PAWSE,6.26,meteora,vertigo,0.000065,0.000069,5132,112738
2025-06-25 04:09:27,B1oEzGes1QxVZoxR3abiwAyL4jcPRF2s2ok5Yerrpump,rasmr,1.24,meteora,pumpswap,0.000027,0.000027,1936,361779
2025-06-25 04:09:48,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,POPCAT,0.60,orca,meteora,0.002079,0.002106,52227,429670
2025-06-25 04:09:48,8243mJtEQZSEYh5DBmvHSwrN8tmcYkAuG67CgoT2pump,OOBE,3.51,raydium,meteora,0.000006,0.000006,2695,50779
2025-06-25 04:10:02,8Y5MwnUM19uqhnsrFnKijrmn33CmHBTUoedXtTGDpump,BASEDD,0.81,meteora,pumpswap,0.000023,0.000024,7299,477972
2025-06-25 04:10:37,AtortPA9SVbkKmdzu5zg4jxgkR4howvPshorA9jYbonk,IKUN,1.47,raydium,meteora,0.000029,0.000029,29235,1926705
2025-06-25 04:10:46,Ai3eKAWjzKMV8wRwd41nVP83yqfbAVJykhvJVPxspump,moonpig,0.85,orca,meteora,0.000053,0.000054,10261,66790
2025-06-25 04:10:50,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,GRIFFAIN,0.74,orca,meteora,0.000313,0.000317,22731,5813
2025-06-25 04:11:36,CGkRYvHnV6guL8DMadWG57qe6qUm6m3zDyGpMrcvpump,CRUISE,6.93,meteora,raydium,0.000006,0.000007,1603,39997
2025-06-25 04:11:46,HBQF8545EPhitdD7c18TFzoKrXGQE6jeXxVaGEjopump,Farthouse,0.82,orca,pumpswap,0.000000,0.000000,3968,34100
2025-06-25 04:12:12,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,gib,4.66,orca,meteora,0.000014,0.000015,2044,62490
2025-06-25 04:12:20,HtTYHz1Kf3rrQo6AqDLmss7gq5WrkWAaXn3tupUZbonk,KORI,0.53,meteora,raydium,0.000025,0.000025,12107,712666
2025-06-25 04:13:00,2MuDS29b6rQb9MydKLMvggST5Yqez3B6gYWitvvjc6ir,KAI,4.06,meteora,raydium,0.000038,0.000040,42379,1624062
2025-06-25 04:13:05,EBCqxfSMVSJPDGFLcf2yAfQoeLJRD1z8VbEUemZSbonk,shiyo,1.56,raydium,meteora,0.000001,0.000001,2784,556842
2025-06-25 04:13:45,97PVGU2DzFqsAWaYU17ZBqGvQFmkqtdMywYBNPAfy8vy,STARTUP,3.27,orca,meteora,0.000075,0.000078,15342,80408
2025-06-25 04:14:02,8Q8KPBL21FVatn2C1EaxAQSorAkHW2W2jDUXapVPZmhm,OSCAR,0.72,pumpswap,meteora,0.000003,0.000003,8047,1021437
2025-06-25 04:14:29,95fRjLnCXVAviW9uAFejzMTtwgGtpM9ux39B3hbApump,italo,4.59,pumpswap,meteora,0.000001,0.000001,3168,42105
2025-06-25 04:14:56,5iooMHkYiJRM9bsBVtKUT5J7JwuzJq6758iUhb9Epump,anus,12.33,pumpswap,meteora,0.000001,0.000001,2449,866448
2025-06-25 04:15:19,69LjZUUzxj3Cb3Fxeo1X4QpYEQTboApkhXTysPpbpump,CODEC,8.89,meteora,meteora,0.000027,0.000029,5102,19405
2025-06-25 04:15:31,HLJzUzWU7eFKDCvuoJ6cQCYxkinE1cXCZjxWJWwWpump,VINE,6.30,raydium,meteora,0.000006,0.000007,3376,66207
2025-06-25 04:15:32,8U5SJfExR7QMhPWWKLFV5F9L8mX3vioEP29GxocBpump,BIGFACTS,0.51,raydium,meteora,0.000045,0.000045,35062,772347
2025-06-25 04:15:49,J3rYdme789g1zAysfbH9oP4zjagvfVM2PX7KJgFDpump,BlackCoin,0.85,pumpswap,meteora,0.000006,0.000006,9357,1779959
2025-06-25 04:16:19,GdZ9rwHyKcriLdbSzhtEFLe5MLs7Vk6AY1aE5ei7nsmP,AVO,2.63,orca,meteora,0.000005,0.000005,7896,49989
2025-06-25 04:16:22,HrXK98VXjxuiRYj4PmWSZ26pJ2tCTJA223Jffv1wpump,DANGER,4.52,pumpswap,meteora,0.000000,0.000000,1074,226825
2025-06-25 04:16:32,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,0.72,meteora,orca,0.421500,0.427500,12033,48107
2025-06-25 04:16:33,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,0.58,meteora,meteora,0.002882,0.002919,14205,4134
2025-06-25 04:17:05,4dmQFkCM1WiUhC75UndLkmMtWj78fQJUvfc4xpMLpump,BUNK,2.09,meteora,pumpswap,0.000001,0.000001,5301,3295023
2025-06-25 04:17:16,sxv1symoD4WXjpeXCs5USFEyt8hBhmCuuptLjA8uRNy,GEM,4.73,meteora,raydium,0.000003,0.000003,8533,11143
2025-06-25 04:17:34,GVnxxxUt91vXaK7hXTDCgohQoFmxDrjodM5gGzTBpump,mai,7.46,meteora,pumpswap,0.000000,0.000000,3217,2335424
2025-06-25 04:17:34,HxptKywiNbHobJD4XMMBn1czMUGkdMrUkeUErQLKbonk,GOGS,4.42,raydium,meteora,0.000005,0.000005,85196,129389
2025-06-25 04:17:35,BakGV2drRTXM3h41qGgrgMWknoTmgWFHKtfrvVfLoBLV,NEXUS,8.90,meteora,meteora,0.000005,0.000005,1079,36975
2025-06-25 04:17:38,xzo9Po31Z5UEFHL1LbnWcUKVSqjWAcXihZ3HaUmVqFx,xymint,5.88,meteora,meteora,0.000003,0.000003,9432,2201518
2025-06-25 04:18:06,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,$WIF,2.85,orca,meteora,0.865900,0.896600,21019,9635
2025-06-25 04:18:06,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,DIO,71979.27,raydium,raydium,0.002851,2.055000,67577,19931
2025-06-25 04:18:19,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,1.32,meteora,orca,2.072020,2.113800,107714,119419
2025-06-25 04:18:23,G2pMCBjRQHHCkE79r9KAESvdhUCieWPZvX5GRFa3jCLg,SUBY,2.39,meteora,meteora,0.000020,0.000020,8740,208027
2025-06-25 04:18:33,J27UYHX5oeaG1YbUGQc8BmJySXDjNWChdGB2Pi2TMDAq,PCULE,0.98,meteora,meteora,0.000052,0.000053,60696,816555
2025-06-25 04:18:38,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,0.78,raydium,orca,2.049890,2.080250,48163,735648
2025-06-25 04:18:42,6MQpbiTC2YcogidTmKqMLK82qvE9z5QEm7EP3AEDpump,MASK,1.75,meteora,meteora,0.000087,0.000089,46562,288535
2025-06-25 04:18:48,9wK8yN6iz1ie5kEJkvZCTxyN1x5sTdNfx8yeMY8Ebonk,Hosico,1.24,meteora,meteora,0.000165,0.000168,4780,429784
2025-06-25 04:18:59,EVqkPanBKrx6q2cuej5CwjdEoK8CM2UPdYi9nmSPbonk,NANI,3.97,meteora,raydium,0.000004,0.000004,5833,62936
2025-06-25 04:19:31,5DkLaee4Ctm9v8bka1zGeuPUTbngZaznZsc1t3L4pump,ZENAI,1.68,meteora,raydium,0.000005,0.000006,1965,7007
2025-06-25 04:19:39,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,SAMO,0.92,orca,orca,0.000014,0.000014,26338,12445
2025-06-25 04:19:42,D7Z2fUrxECBh91chmnou8u7E9Yaq7inzzcjg9G1Apump,Salary,11.30,meteora,meteora,0.000020,0.000022,1348,5051
2025-06-25 04:21:01,FP2XnGpqP5opNZujB6KPpXYWSAwq7BbTUVUnRij1bonk,CryBB,1.23,meteora,meteora,0.000082,0.000083,10973,50873
2025-06-25 04:21:26,5mjbjHRb327yvcWUc5WPywhCbYi32pqUqxPUCtpipBLV,RUNNIT,7.22,orca,meteora,0.000008,0.000008,5950,81397
2025-06-25 04:21:40,4ikwYoNvoGEwtMbziUyYBTz1zRM6nmxspsfw9G7Bpump,crypto,3.80,pumpswap,meteora,0.000063,0.000066,12044,579009
2025-06-25 04:21:42,3VvtXwhZWzFyPZVPt5ApAsdACJFNW4XVnMKMhWcSbonk,USEFUL,1.56,meteora,raydium,0.000001,0.000001,7740,86571
2025-06-25 04:21:45,6D6ccmg71x56V5Je1Mh82MFPYL38gaZqNc2LG1XMbonk,Patchy,4.07,raydium,meteora,0.000007,0.000007,13683,616358
2025-06-25 04:21:53,7Tx8qTXSakpfaSFjdztPGQ9n2uyT1eUkYz7gYxxopump,ASSDAQ,1.03,pumpswap,meteora,0.000009,0.000009,14857,195864
2025-06-25 04:21:54,CB9dDufT3ZuQXqqSfa1c5kY935TEreyBw9XJXxHKpump,USDUC,0.76,meteora,raydium,0.000094,0.000096,36444,131107
2025-06-25 04:21:59,ZEXy1pqteRu3n13kdyh4LwPQknkFk3GzmMYMuNadWPo,ZEX,1.33,raydium,meteora,0.202100,0.206200,20768,195377
2025-06-25 04:21:59,ZEXy1pqteRu3n13kdyh4LwPQknkFk3GzmMYMuNadWPo,ZEX,4.04,meteora,orca,0.001328,0.001391,41972,113482
2025-06-25 04:22:06,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Fartcoin ,2.70,meteora,orca,0.007447,0.007700,65363,35118
2025-06-25 04:22:06,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Fartcoin ,4.15,meteora,meteora,1.075380,1.127500,20161,266397
2025-06-25 04:22:08,2KK4YMi24Tqo6tDn8mzYWkNdGjG3ufdXBjmLv7Fapump,void,1.05,orca,meteora,0.000002,0.000002,3577,10749
2025-06-25 04:22:13,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,USELESS,5.55,meteora,meteora,0.140800,0.149600,13669,188196
2025-06-25 04:22:16,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,PENGU,0.94,orca,meteora,0.009898,0.010060,20005,127116
2025-06-25 04:22:43,5evN2exivZXJfLaA1KhHfiJKWfwH8znqyH36w1SFz89Y,MIRAI,1.75,meteora,meteora,0.000058,0.000059,118190,66225
2025-06-25 04:22:45,DiZZY2UQ2HSVsFDF6jADc6YYATiTfnQFw4Be1udRZmaY,DIZZY,14.47,meteora,meteora,0.000041,0.000047,44949,50848
2025-06-25 04:22:51,E4n5gooEoFaDPb1oSDmN2VXjWKekrTn3EFE7KjNKpump,M2,2.04,pumpswap,meteora,0.000003,0.000003,3276,289793
2025-06-25 04:23:06,H4op1gvrkbzvC6zRuhRZMN429zJoFT1MSZKRyGzMpump,Oil,1.30,pumpswap,meteora,0.000000,0.000000,1473,27136
2025-06-25 04:23:08,GkyPYa7NnCFbduLknCfBfP7p8564X1VZhwZYJ6CZpump,CHILLHOUSE,1.92,meteora,meteora,0.000107,0.000110,10949,127411
2025-06-25 04:23:13,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,4.17,meteora,meteora,0.063610,0.066710,410825,822184
2025-06-25 04:23:24,BediSYEPUiuye8W5bFJueqwpLpry9CckehLEv1tBmoon,QQQ,0.92,meteora,meteora,0.000006,0.000006,3937,341451
2025-06-25 04:23:25,3dk9CNre8tmv6bbNXd5F6dgkNnEzsyQ7sPhVT8kKpump,Fartcat,2.60,pumpswap,meteora,0.000006,0.000007,25144,739527
2025-06-25 04:23:28,3HeUeL8ru8DFfRRQGnE11vGrDdNUzqVwBW8hyYHBbonk,NYLA,0.73,meteora,raydium,0.000022,0.000023,98411,368231
2025-06-25 04:24:40,JCBKQBPvnjr7emdQGCNM8wtE8AZjyvJgh7JMvkfYxypm,FLIPR,36.73,meteora,meteora,0.000004,0.000006,2633,14565
2025-06-25 04:24:45,DFVeSFxNohR5CVuReaXSz6rGuJ62LsKhxFpWsDbbjups,VIBE,2.11,meteora,meteora,0.000306,0.000314,31099,239140
2025-06-25 04:25:24,69G8CpUVZAxbPMiEBrfCCCH445NwFxH6PzVL693Xpump,xavier,3.29,raydium,meteora,0.000056,0.000058,34009,629075
2025-06-25 04:26:22,C29ebrgYjYoJPMGPnPSGY1q3mMGk4iDSqnQeQQA7moon,NOBODY,4.55,meteora,meteora,0.000124,0.000130,15025,849324
2025-06-25 04:26:49,PAWSEvC8zsXJVgBcVB3QRKfwd4P9FS6vbB963HsUEP6,PAWSE,6.26,meteora,vertigo,0.000065,0.000069,5132,112733
2025-06-25 04:27:14,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,POPCAT,0.60,orca,meteora,0.002079,0.002106,33903,419822
2025-06-25 04:27:15,8243mJtEQZSEYh5DBmvHSwrN8tmcYkAuG67CgoT2pump,OOBE,3.51,raydium,meteora,0.000006,0.000006,2695,46348
2025-06-25 04:27:32,8Y5MwnUM19uqhnsrFnKijrmn33CmHBTUoedXtTGDpump,BASEDD,2.40,meteora,pumpswap,0.000023,0.000024,7299,474880
2025-06-25 04:27:52,BYpJEjZ8YBBWjF66oihbLnipwtmMHnLeJnkp4aBcpump,FB,2.25,pumpswap,meteora,0.000002,0.000002,2288,296591
2025-06-25 04:28:09,AtortPA9SVbkKmdzu5zg4jxgkR4howvPshorA9jYbonk,IKUN,7.83,meteora,meteora,0.000026,0.000029,9224,20925
2025-06-25 04:28:20,Ai3eKAWjzKMV8wRwd41nVP83yqfbAVJykhvJVPxspump,moonpig,1.86,meteora,orca,0.000053,0.000054,17646,57750
2025-06-25 04:29:01,CGkRYvHnV6guL8DMadWG57qe6qUm6m3zDyGpMrcvpump,CRUISE,6.93,meteora,raydium,0.000006,0.000007,1603,39997
